id,type,name,provinceId
829,Thành phố,Thành phố Bến Tre,83
831,Huyện,Huyện Châu Thành,83
832,Huyện,Huyện Chợ Lách,83
833,Huyện,Huyện Mỏ Cày Nam,83
834,Huyện,Huyện Giồng Trôm,83
835,Huyện,Huyện Bình Đại,83
836,Huyện,Huyện Ba Tri,83
837,Huyện,Huyện Thạnh Phú,83
838,Huyện,Huyện Mỏ Cày Bắc,83
842,Thành phố,Thành phố Trà Vinh,84
844,Huyện,Huyện Càng Long,84
845,Huyện,Huyện Cầu Kè,84
846,Huyện,Huyện Tiểu Cần,84
847,Huyện,Huyện Châu Thành,84
848,Huyện,Huyện Cầu Ngang,84
849,Huyện,Huyện Trà Cú,84
850,Huyện,Huyện Duyên Hải,84
851,Thị xã,Thị xã Duyên Hải,84
855,Thành phố,Thành phố Vĩnh Long,86
857,Huyện,Huyện Long Hồ,86
858,Huyện,Huyện Mang Thít,86
859,Huyện,Huyện  Vũng Liêm,86
860,Huyện,Huyện Tam Bình,86
861,Thị xã,Thị xã Bình Minh,86
862,Huyện,Huyện Trà Ôn,86
863,Huyện,Huyện Bình Tân,86
866,Thành phố,Thành phố Cao Lãnh,87
867,Thành phố,Thành phố Sa Đéc,87
868,Thành phố,Thành phố Hồng Ngự,87
869,Huyện,Huyện Tân Hồng,87
870,Huyện,Huyện Hồng Ngự,87
871,Huyện,Huyện Tam Nông,87
872,Huyện,Huyện Tháp Mười,87
873,Huyện,Huyện Cao Lãnh,87
874,Huyện,Huyện Thanh Bình,87
875,Huyện,Huyện Lấp Vò,87
876,Huyện,Huyện Lai Vung,87
877,Huyện,Huyện Châu Thành,87
883,Thành phố,Thành phố Long Xuyên,89
884,Thành phố,Thành phố Châu Đốc,89
886,Huyện,Huyện An Phú,89
887,Thị xã,Thị xã Tân Châu,89
888,Huyện,Huyện Phú Tân,89
889,Huyện,Huyện Châu Phú,89
890,Huyện,Huyện Tịnh Biên,89
891,Huyện,Huyện Tri Tôn,89
892,Huyện,Huyện Châu Thành,89
893,Huyện,Huyện Chợ Mới,89
894,Huyện,Huyện Thoại Sơn,89
899,Thành phố,Thành phố Rạch Giá,91
900,Thành phố,Thành phố Hà Tiên,91
902,Huyện,Huyện Kiên Lương,91
903,Huyện,Huyện Hòn Đất,91
904,Huyện,Huyện Tân Hiệp,91
905,Huyện,Huyện Châu Thành,91
906,Huyện,Huyện Giồng Riềng,91
907,Huyện,Huyện Gò Quao,91
908,Huyện,Huyện An Biên,91
909,Huyện,Huyện An Minh,91
910,Huyện,Huyện Vĩnh Thuận,91
911,Thành phố,Thành phố Phú Quốc,91
912,Huyện,Huyện Kiên Hải,91
913,Huyện,Huyện U Minh Thượng,91
914,Huyện,Huyện Giang Thành,91
916,Quận,Quận Ninh Kiều,92
917,Quận,Quận Ô Môn,92
918,Quận,Quận Bình Thuỷ,92
919,Quận,Quận Cái Răng,92
923,Quận,Quận Thốt Nốt,92
924,Huyện,Huyện Vĩnh Thạnh,92
925,Huyện,Huyện Cờ Đỏ,92
926,Huyện,Huyện Phong Điền,92
927,Huyện,Huyện Thới Lai,92
930,Thành phố,Thành phố Vị Thanh,93
931,Thành phố,Thành phố Ngã Bảy,93
932,Huyện,Huyện Châu Thành A,93
933,Huyện,Huyện Châu Thành,93
934,Huyện,Huyện Phụng Hiệp,93
935,Huyện,Huyện Vị Thuỷ,93
936,Huyện,Huyện Long Mỹ,93
937,Thị xã,Thị xã Long Mỹ,93
941,Thành phố,Thành phố Sóc Trăng,94
942,Huyện,Huyện Châu Thành,94
943,Huyện,Huyện Kế Sách,94
944,Huyện,Huyện Mỹ Tú,94
945,Huyện,Huyện Cù Lao Dung,94
946,Huyện,Huyện Long Phú,94
947,Huyện,Huyện Mỹ Xuyên,94
948,Thị xã,Thị xã Ngã Năm,94
949,Huyện,Huyện Thạnh Trị,94
950,Thị xã,Thị xã Vĩnh Châu,94
951,Huyện,Huyện Trần Đề,94
954,Thành phố,Thành phố Bạc Liêu,95
